Date,Mantas,Plankton,Boats,Tour,High tide,Low tide
10/12/2024,2,2,1,2,2.05,0.41
10/14/2024,4,2,1,1,1.49,0.21
10/14/2024,6,2,1,2,2.15,0.1
10/15/2024,4,3,1,1,1.81,0.2
10/15/2024,6,3,1,2,2.09,-0.04
10/16/2024,4,2,1,1,2.1,0.23
10/16/2024,6,2,1,2,1.97,-0.16
10/17/2024,6,3,1,1,2.31,0.31
10/17/2024,7,3,1,2,1.79,-0.23
10/18/2024,6,3,1,1,2.44,0.41
10/18/2024,3,2,1,2,1.58,-0.24
10/19/2024,9,4,1,1,2.46,0.52
10/20/2024,5,4,1,1,2.38,0.62
10/20/2024,7,4,1,2,1.15,-0.08
10/21/2024,2,4,1,1,2.23,0.7
10/21/2024,4,4,1,2,0.97,0.7
10/22/2024,6,3,1,1,2.05,0.07
10/22/2024,12,3,1,2,2.05,0.07
10/23/2024,6,4,1,1,1.91,0.23
10/23/2024,10,4,1,2,0.71,0.58
10/24/2024,5,3,1,1,1.84,0.4
10/24/2024,6,3,1,2,0.85,0.49
10/25/2024,6,3,1,1,1.81,0.48
10/25/2024,9,5,1,2,1.81,0.42
10/27/2024,5,4,1,1,1.28,0.47
10/27/2024,5,5,1,2,1.76,0.26
10/28/2024,6,2,1,1,1.5,0.45
10/28/2024,4,2,1,2,1.72,0.17
10/29/2024,6,3,1,1,1.7,0.45
10/30/2024,7,2,1,1,1.88,0.46
11/1/2024,8,4,1,1,2.11,0.51
11/2/2024,6,5,1,1,2.16,0.54
11/3/2024,11,3,1,1,2.15,0.59
11/4/2024,6,2,1,1,2.11,0.64
11/4/2024,7,2,1,2,1.06,-0.01
11/6/2024,5,2,1,1,1.97,0.7
11/6/2024,5,2,2,2,0.87,0.16
11/7/2024,11,3,1,1,1.92,0.64
11/7/2024,13,3,1,2,0.77,0.64
11/8/2024,4,2,2,1,1.9,0.29
11/8/2024,7,1,2,2,0.79,0.54
11/9/2024,7,2,2,1,1.92,0.42
11/9/2024,11,2,2,2,1.03,0.41
11/10/2024,5,1,2,1,1.92,0.48
11/10/2024,5,1,1,2,1.92,0.25
11/11/2024,4,2,2,1,1.36,0.48
11/11/2024,5,2,1,2,1.89,0.08
11/12/2024,1,5,1,1,1.71,0.47
11/12/2024,1,2,2,2,1.81,-0.08
11/13/2024,1,3,1,2,1.69,-0.22
11/14/2024,1,4,2,1,2.32,0.45
11/15/2024,4,4,1,1,2.51,0.47
11/15/2024,5,3,1,2,1.39,-0.35
11/16/2024,2,3,1,1,2.58,0.49
